# timestamp tx ty tz qx qy qz qw
1783055823.400424 33.368374 13.412537 0.414983 -0.060285 0.152240 0.572733 0.803222
1783055823.500264 33.368542 13.414836 0.415132 -0.061353 0.152997 0.572326 0.803288
1783055823.600104 33.367588 13.417323 0.413771 -0.062406 0.153740 0.572034 0.803273
1783055823.700424 33.368534 13.420537 0.413540 -0.062455 0.155338 0.572273 0.802791
1783055823.800264 33.368729 13.422705 0.414572 -0.062657 0.156205 0.571959 0.802831
1783055823.900104 33.368786 13.423227 0.413273 -0.061598 0.156132 0.571496 0.803257
1783055824.000424 33.368221 13.425188 0.411956 -0.061488 0.155364 0.570493 0.804127
1783055824.100278 33.368607 13.426948 0.410226 -0.062082 0.155532 0.569897 0.804471
1783055824.200118 33.369419 13.427918 0.410019 -0.062553 0.155296 0.569399 0.804833
1783055824.300438 33.370251 13.428788 0.409965 -0.062479 0.155540 0.568811 0.805207
1783055824.400278 33.371204 13.429721 0.409485 -0.062695 0.155550 0.568218 0.805607
1783055824.500118 33.371471 13.429657 0.408961 -0.063202 0.155802 0.567908 0.805737
1783055824.600438 33.371723 13.429327 0.407660 -0.062522 0.155431 0.567505 0.806146
1783055824.700278 33.373264 13.429529 0.406993 -0.062446 0.156478 0.567047 0.806271
1783055824.800118 33.373333 13.428819 0.407843 -0.062356 0.156510 0.566447 0.806693
1783055824.900438 33.373356 13.429628 0.408313 -0.063142 0.155535 0.566033 0.807111
1783055825.000278 33.372898 13.427866 0.408431 -0.062858 0.155238 0.565535 0.807539
1783055825.100131 33.372658 13.427556 0.407017 -0.062341 0.155669 0.565327 0.807642
1783055825.200451 33.372532 13.427068 0.405839 -0.062318 0.156963 0.564581 0.807915
1783055825.300291 33.371986 13.427275 0.406000 -0.062906 0.157185 0.563964 0.808258
1783055825.400131 33.371399 13.427193 0.405476 -0.062207 0.157157 0.563970 0.808313
1783055825.500451 33.370770 13.426643 0.406469 -0.061836 0.157428 0.563937 0.808312
1783055825.600291 33.369976 13.426097 0.406970 -0.061295 0.156879 0.564381 0.808150
1783055825.700131 33.369137 13.425000 0.407557 -0.061766 0.156272 0.564428 0.808199
1783055825.800451 33.369247 13.424459 0.406285 -0.061675 0.156054 0.564579 0.808142
1783055825.900291 33.368980 13.423947 0.406433 -0.061695 0.155999 0.564247 0.808383
1783055826.000131 33.370735 13.423004 0.406326 -0.061576 0.157017 0.564553 0.807981
1783055826.100465 33.371559 13.423262 0.406096 -0.061787 0.157645 0.564221 0.808075
1783055826.200305 33.372562 13.422300 0.406495 -0.061889 0.156703 0.563822 0.808529
1783055826.300145 33.373726 13.421371 0.407929 -0.060831 0.156435 0.563632 0.808793
1783055826.400465 33.374939 13.421240 0.408843 -0.060455 0.156253 0.563146 0.809195
1783055826.500305 33.374416 13.420475 0.409044 -0.059661 0.156573 0.562561 0.809599
1783055826.600145 33.372929 13.419725 0.409294 -0.059927 0.157100 0.561452 0.810247
1783055826.700465 33.370060 13.418489 0.409498 -0.059286 0.156719 0.561558 0.810294
1783055826.800305 33.363892 13.418757 0.410203 -0.059158 0.156784 0.561785 0.810134
1783055826.900145 33.356724 13.418677 0.412226 -0.059598 0.156624 0.563361 0.809037
1783055827.000465 33.346958 13.418094 0.412399 -0.059522 0.157015 0.566677 0.806648
1783055827.100318 33.334129 13.418096 0.413842 -0.061065 0.157257 0.572252 0.802539
1783055827.200158 33.318600 13.417940 0.413735 -0.062638 0.155108 0.583513 0.794689
1783055827.300478 33.300728 13.418240 0.415485 -0.065641 0.153619 0.598196 0.783744
1783055827.400318 33.281368 13.417583 0.415684 -0.067232 0.150154 0.615675 0.770635
1783055827.500158 33.261543 13.417559 0.416295 -0.070466 0.146766 0.633619 0.756321
1783055827.600478 33.240818 13.417554 0.417454 -0.074939 0.143729 0.650796 0.741748
1783055827.700318 33.221668 13.417800 0.419515 -0.078169 0.138449 0.666974 0.727920
1783055827.800158 33.203812 13.417858 0.421747 -0.081516 0.134158 0.682349 0.713972
1783055827.900478 33.190723 13.417295 0.424808 -0.082710 0.129312 0.696321 0.701124
1783055828.000318 33.196499 13.415532 0.429103 -0.083433 0.127528 0.708693 0.688861
1783055829.100006 33.066723 13.437381 0.422493 -0.102069 0.111609 0.781059 0.605865
1783055829.200325 33.127747 13.413580 0.427744 -0.102897 0.112463 0.778798 0.608472
1783055829.300166 33.130119 13.409921 0.433346 -0.105132 0.112236 0.779193 0.607625
1783055829.400486 33.127037 13.411442 0.436543 -0.104421 0.111455 0.780446 0.606282
1783055829.500325 33.121838 13.413657 0.437868 -0.102497 0.113187 0.781027 0.605541
1783055829.600166 33.116947 13.414079 0.440599 -0.100643 0.113830 0.781218 0.605485
1783055829.700485 33.111664 13.414556 0.442309 -0.099147 0.113201 0.780566 0.606690
1783055829.800326 33.108574 13.414719 0.443965 -0.098646 0.113293 0.780068 0.607394
1783055829.900166 33.106018 13.414808 0.445870 -0.097184 0.112864 0.779886 0.607943
1783055830.000485 33.104618 13.414315 0.446451 -0.098263 0.112280 0.779555 0.608302
1783055830.100339 33.103065 13.413095 0.447290 -0.099558 0.111472 0.778946 0.609020
1783055830.200179 33.103054 13.411855 0.447224 -0.099631 0.109462 0.778477 0.609971
1783055830.300019 33.103706 13.410954 0.447963 -0.099492 0.109224 0.778028 0.610609
1783055830.400339 33.103645 13.409691 0.449491 -0.099677 0.109124 0.777807 0.610878
1783055830.500179 33.103493 13.408770 0.449296 -0.099286 0.108247 0.777693 0.611244
1783055830.600019 33.103893 13.408830 0.449229 -0.099725 0.107737 0.777488 0.611523
1783055830.700339 33.103218 13.407596 0.448010 -0.099017 0.107542 0.777422 0.611756
1783055830.800179 33.102455 13.408284 0.448100 -0.098722 0.108161 0.776961 0.612280
1783055830.900019 33.102158 13.408332 0.448156 -0.099408 0.107923 0.776120 0.613277
1783055831.000339 33.100445 13.408579 0.448123 -0.099327 0.107586 0.775231 0.614472
1783055831.100193 33.098976 13.409617 0.447777 -0.099492 0.107290 0.774663 0.615213
1783055831.200033 33.098740 13.409813 0.447533 -0.098523 0.107096 0.774354 0.615792
1783055831.300353 33.096615 13.409287 0.446710 -0.098516 0.107134 0.774189 0.615994
1783055831.400193 33.095181 13.410596 0.445832 -0.097694 0.106818 0.773774 0.616701
1783055831.500033 33.093842 13.411000 0.443634 -0.097921 0.107949 0.772731 0.617774
1783055831.600353 33.092716 13.412312 0.440707 -0.097723 0.108495 0.771693 0.619007
1783055831.700193 33.090843 13.414442 0.441277 -0.097131 0.109722 0.770284 0.620636
1783055831.800033 33.090752 13.416461 0.440736 -0.096241 0.111192 0.768407 0.622836
1783055831.900353 33.090343 13.417648 0.440176 -0.094636 0.112357 0.766963 0.624650
1783055832.000193 33.090721 13.420707 0.440256 -0.094256 0.113309 0.764919 0.627037
1783055832.100046 33.091747 13.422697 0.439877 -0.092422 0.113774 0.762689 0.629936
1783055832.200366 33.093472 13.426459 0.438965 -0.091683 0.114833 0.760432 0.632575
1783055832.300206 33.097343 13.429544 0.438784 -0.089540 0.116891 0.758366 0.634981
1783055832.400046 33.101433 13.434500 0.436707 -0.088803 0.119432 0.755250 0.638316
1783055832.500366 33.108158 13.440827 0.436094 -0.088414 0.122533 0.751740 0.641916
1783055832.600206 33.117989 13.446494 0.434926 -0.088209 0.125679 0.748206 0.645455
1783055832.700046 33.129734 13.454378 0.434809 -0.088958 0.127908 0.744315 0.649401
1783055832.800366 33.146069 13.463159 0.434587 -0.091440 0.129309 0.740770 0.652823
1783055832.900206 33.164577 13.473052 0.433915 -0.092622 0.130606 0.738602 0.654852
1783055833.000046 33.187508 13.484033 0.431973 -0.091371 0.132791 0.737853 0.655431
1783055833.100380 33.214573 13.496886 0.429952 -0.090213 0.135904 0.737764 0.655054
1783055833.200220 33.244389 13.510761 0.427466 -0.089243 0.136721 0.740356 0.652086
1783055833.300060 33.276627 13.525537 0.424592 -0.090154 0.137793 0.742645 0.649125
1783055833.400380 33.311707 13.544795 0.423316 -0.089141 0.143492 0.742396 0.648315
1783055833.500220 33.348843 13.563001 0.420587 -0.086449 0.150135 0.741449 0.648259
1783055833.600060 33.385845 13.583354 0.417988 -0.082862 0.153795 0.735474 0.654645
1783055833.700380 33.421696 13.604562 0.415585 -0.080689 0.158977 0.725548 0.664677
